,0
Front bumper,149530
Rear bumper,67631
Rear door(R),19162
Rear fender(R),16307
Rear fender(L),16284
Bumper,12255
Rocker panel,10046
Front door(R),9128
Rear door(L),8521
Front door(L),7754
Front fender(R),5667
Front fender(L),5394
Rocker panel(R),5330
Front Wheel(R),4660
Bonnet,4020
Head lights(L),3645
Trunk lid,3593
Head lights(R),2774
Rear Wheel(R),2742
Front Wheel(L),2454
A pillar(R),1511
Side mirror(L),1486
Rear lamp(R),1348
Head lights,1309
Side mirror(R),1255
Rear Wheel(L),1166
Roof,1117
Rear lamp(L),763
B pillar(R),751
B pillar(L),725
Rocker panel(L),605
Rear door,432
Rear fender,242
A pillar(L),234
C pillar(L),125
Front door,94
C pillar(R),75
Windshield,44
A pillar,31
Front fender,17
Side mirror,15
Front Wheel,6
Rear Wheel,4
Rear windshield,3
Undercarriage,2
